"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","VINA_BODY_TYPE_CD"
"2020033284","","15","N","3","1","","2","06","Y","TOYT","2011","","","","","","","","01","2T3BK4DV2BW","1","","4","00","Y","S","000","0","","2","01","07","03","09","PA","3","06","T4W"
"2020070138","","69","N","9","1","","1","12","Y","FORD","2018","","","","","","","","99","1FMCU9HD0JU","1","","1","00","N","W","035","0","","1","01","05","01","01","PA","1","06","T"
"2020086648","","69","N","1","1","","1","06","Y","CADI","2020","","","","","","","","02","1GYKNGRS8LZ","1","","1","00","N","W","000","","","2","01","12","03","06","PA","2","06","T"
"2020053606","","","","","","","","","","","","U","01","99","0","U","01","U","00","","1","","","","","","","","","4","30","","99","99","","2","31",""
"2020034071","","41","N","3","1","","1","02","Y","MERZ","2015","","","","","","","","01","WD3PE8DC8F5","1","","1","00","Y","S","060","0","","1","01","03","01","06","NJ","1","06","TEC"
"2020045217","","04","N","3","1","","1","12","Y","ACUR","2009","","","","","","","","02","19UUA86259A","2","","1","00","Y","N","070","","","1","01","03","15","06","PA","1","01","P4D"
"2020015381","","15","N","3","1","","1","12","Y","JEEP","1999","","","","","","","","01","1J4GW58S0XC","1","","1","00","Y","E","035","0","","1","01","07","01","06","NJ","1","06","T4W"
"2020009852","","04","N","9","4","","1","12","U","HOND","2002","","","","","","","","99","1HGCG16562A","1","","1","00","N","S","020","","","1","05","03","01","01","PA","1","01","P4D"
"2020035995","","69","N","3","3","","1","01","U","FORD","2020","","","","","","","","99","1FMJK2AT7LE","1","","1","00","Y","E","035","0","","1","01","05","01","03","PA","1","06","T"
"2020030502","","04","N","3","1","","1","10","Y","KIA","2014","","","","","","","","02","KNADM4A31E6","1","","1","00","Y","W","020","0","","1","01","02","01","13","PA","1","01","P4D"
