"CRN","ACCESS_CTRL","ADJ_RDWY_SEQ","LANE_COUNT","OFFSET","RDWY_COUNTY","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2020113081","1","3","3","1543","67","W","3","1","0676","0003","55","VINE STREET EX"
"2020055145","3","3","2","581","67","B","3","2","3004","0020","25","SIXTYFIFTH ST"
"2020024188","3","3","3","1201","67","N","3","2","1003","0020","35","WHITAKER AV"
"2020096980","","4","01","","67","S","4","4","","","","NINETEENTH ST"
"2020058952","1","3","03","1404","67","W","3","1","0076","3431","50","SCHUYLKILL EX"
"2020073617","1","3","4","410","67","N","3","1","0095","0204","55","DELAWARE EX"
"2020032624","","4","02","","67","W","3","4","","","30","WASHINGTON AV"
"2020077918","","4","01","","67","S","5","4","","","","TENTH ST"
"2021026026","","3","02","","67","S","4","4","","","25","22ND ST"
"2020024466","","4","01","","67","S","3","4","","","20","16TH ST"
"2020100086","","3","99","","67","W","3","4","","","25","BELFIELD AV"
"2020030601","","4","02","","67","S","3","4","","","25","PALETHORP ST"
"2020111186","3","3","03","1051","67","S","3","2","3029","0011","25","FIFTEENTH ST"
"2020008270","","4","02","","67","E","3","4","","","","WALNUT LN"
"2020063635","1","4","1","0","67","N","4","2","8001","0500","20","RAMP D RD"
"2020093919","3","5","2","0","67","N","5","2","1011","0090","30","WELSH RD"
"2020068540","3","3","02","0","67","S","3","2","1001","0100","35","VERREE RD"
"2020014645","","5","01","","67","N","5","4","","","20","NINETEENTH ST"
"2020111933","","3","99","","67","E","3","4","","","20","W JEFFERSON ST"
"2020052046","1","3","3","453","67","N","3","1","0095","0164","55","DELAWARE EX"
"2020018388","3","3","03","0","67","N","6","2","2001","0060","35","CHRISTOPHER COLUMBUS BL"
"2020017327","","3","02","","67","S","4","4","","","20","S 56TH ST"
"2020041955","1","3","4","1031","67","W","3","1","0076","3411","50","SCHUYLKILL EX"
"2020047380","1","3","01","1075","67","S","5","2","8009","0520","25","RAMP RD"
"2020055500","","5","01","","67","S","4","4","","","30","N 30TH ST"
"2020113994","1","3","4","2403","67","N","3","1","0095","0300","55","DELAWARE EX"
"2020054199","1","3","3","236","67","S","3","1","0095","0151","55","DELAWARE EX"
"2020067007","","6","04","","67","S","6","4","","","35","38TH ST"
"2020004199","1","3","4","2959","67","S","3","1","0095","0145","55","DELAWARE EX"
"2020113434","","5","01","","67","S","5","4","","","","PALMETTO ST"
"2020052500","3","5","3","1510","67","S","5","2","2009","0091","30","ARAMINGO AV"
"2020060684","","4","02","","67","S","4","4","","","","AMERICAN ST"
"2020014067","","3","01","","67","W","3","4","","","25","TYSON AV"
"2020051995","","3","02","","67","W","4","4","","","25","TIOGA ST"
"2020076342","","4","02","","67","S","3","4","","","","56TH ST"
"2020038765","","3","02","","67","E","3","4","","","25","ALGON AV"
"2020020021","","6","02","","67","S","6","4","","","25","38TH ST"
"2020039533","1","3","3","16","67","E","3","1","0076","3420","50","SCHUYLKILL EX"
"2020073071","3","3","2","2330","67","N","3","2","1001","0020","30","RISING SUN AV"
"2020013021","1","3","3","406","67","N","3","1","0095","0164","55","DELAWARE EX"
